Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,146.00000,165.00000,141.25000,144.71001,144.71001,70447500
2020-12-11,146.55000,151.50000,135.10001,139.25000,139.25000,26980800
2020-12-14,135.00000,135.30000,125.16000,130.00000,130.00000,16966100
2020-12-15,126.69000,127.60000,121.50000,124.80000,124.80000,10914400
2020-12-16,125.83000,142.00000,124.91000,137.99001,137.99001,20409600
2020-12-17,143.00000,152.45000,142.67000,147.05000,147.05000,15054700
2020-12-18,150.45000,159.00000,150.30000,157.30000,157.30000,15954200
2020-12-21,155.31000,172.00000,145.11000,163.02000,163.02000,17788100
2020-12-22,170.00000,174.97000,161.05000,163.19000,163.19000,9872600
2020-12-23,162.81400,168.25000,155.50000,158.00999,158.00999,5852500
2020-12-24,159.16000,162.78999,154.11200,154.84000,154.84000,3621400
2020-12-28,158.60001,163.64000,147.52000,149.00000,149.00000,6229200
2020-12-29,150.00000,151.65100,143.12000,150.00000,150.00000,5402300
2020-12-30,151.34000,152.81300,145.60001,148.42999,148.42999,3462400
2020-12-31,146.89999,147.89000,144.50999,146.80000,146.80000,2795800
2021-01-04,150.99001,151.00500,137.00000,139.14999,139.14999,6409900
2021-01-05,138.28000,149.00000,137.25000,148.30000,148.30000,5974200
2021-01-06,145.75000,148.35001,141.11000,142.77000,142.77000,4213900
2021-01-07,146.37000,154.42000,145.26100,151.27000,151.27000,4482800
2021-01-08,153.45000,155.53999,147.25000,149.77000,149.77000,4615600
2021-01-11,147.99001,150.50000,144.02000,148.13000,148.13000,2801900
2021-01-12,148.08000,163.88000,143.61000,160.80000,160.80000,8123600
2021-01-13,160.81000,178.62000,159.35001,169.99001,169.99001,12529700
2021-01-14,175.53999,187.42000,174.97501,180.50000,180.50000,9926500
2021-01-15,184.58000,185.99500,164.86000,169.27000,169.27000,8575700
2021-01-19,173.00000,178.60001,166.60001,173.69000,173.69000,4685400
2021-01-20,176.00999,176.31000,161.00000,161.83000,161.83000,8517400
2021-01-21,164.99001,183.47000,155.33000,180.39999,180.39999,17618400
2021-01-22,178.09000,185.30701,175.19000,181.87000,181.87000,7136800
2021-01-25,186.05000,192.47000,170.03000,177.53000,177.53000,7472900
2021-01-26,180.00000,193.00000,177.30000,192.74001,192.74001,6460900
2021-01-27,187.64000,216.00000,185.50000,201.25000,201.25000,11019800
2021-01-28,202.60001,212.84000,187.05000,187.37000,187.37000,7077700
2021-01-29,190.71001,193.50000,179.31000,183.63000,183.63000,4529800
2021-02-01,187.48000,188.82001,179.74001,180.44000,180.44000,3877400
2021-02-02,183.22000,186.47900,177.11000,179.17000,179.17000,4413600
2021-02-03,181.98000,190.89999,180.00000,185.72000,185.72000,4169000
2021-02-04,187.07001,195.99001,186.19000,195.80000,195.80000,3631500
2021-02-05,197.00000,197.25000,190.25000,195.31000,195.31000,2869700
2021-02-08,199.92999,201.96001,191.50000,200.42999,200.42999,3488100
2021-02-09,199.20300,209.22000,196.16000,199.88000,199.88000,4725800
2021-02-10,205.48000,214.71600,202.09700,211.66000,211.66000,5257200
2021-02-11,213.50000,219.94000,207.00000,216.84000,216.84000,3595200
2021-02-12,214.45799,216.94000,209.00000,212.67999,212.67999,3041700
2021-02-16,216.24001,218.78000,209.09000,209.86000,209.86000,3487900
